Shop Name,Shop Address,Lat,Lng,Maps URL,Total Violations,Near Worship,Near Schools,Near Bus Stands,Status
Narmada Bar & Restaurant,"QQJ7+GV4, Attibele",12.7812527,77.7646999,https://www.google.com/maps/place/?q=place_id:ChIJ66RWv-1xrjsRjV1rp_m7bvg,64,61,3,0,VIOLATION
TASMAC wine shop morasapalli,"WQQW+224, Morasapalli",12.937512,78.79508489999999,https://www.google.com/maps/place/?q=place_id:ChIJifXHYxpzrTsRe0jqdH9se9g,10,10,0,0,VIOLATION
Tasmac,"W36F+PW6, Unnamed Road, Abdullah Puram, Vellore",12.9117909,79.0746745,https://www.google.com/maps/place/?q=place_id:ChIJq6qqIw4_rTsR6XPmdVjlL9Q,62,62,0,0,VIOLATION
Tasmac 11225,"W252+9MV, Okkanapuram",12.9084754,79.0016745,https://www.google.com/maps/place/?q=place_id:ChIJdbxu0G0VrTsRh0UnUnUfmrM,24,24,0,0,VIOLATION
Tasmac wine shop,"WVPQ+P7M, Unnamed Road, Vaidheeswaran Nagar, Gudiyatham",12.9368531,78.8881718,https://www.google.com/maps/place/?q=place_id:ChIJfw2aASptrTsR35IbRAHk3c0,59,59,0,0,VIOLATION
Wine shop,"X29Q+6F3, Latteri",12.9680224,79.03868410000001,https://www.google.com/maps/place/?q=place_id:ChIJrZ6HheNBrTsRv8OW-YxC_t0,24,24,0,0,VIOLATION
Kandaneri wine shop,"WX4F+MG9, Golden Temple Rd, Kalanipakkam",12.9067255,78.97386949999999,https://www.google.com/maps/place/?q=place_id:ChIJA2_m2IwVrTsRdXTfNatcBlg,51,51,0,0,VIOLATION
Wine shop,"WXVW+HG3, Unnamed Road, Pillanthipattu",12.9439243,78.99637129999999,https://www.google.com/maps/place/?q=place_id:ChIJFXM0zMNrrTsRUNtpMnTofEY,7,7,0,0,VIOLATION
Reddy Bar & Restaurant,"4GG8+PJJ, G marandahalli post, Mulbagal Taluk, K.Byappalli",13.126866,78.5165141,https://www.google.com/maps/place/?q=place_id:ChIJIy_e5x6FrTsRczDtvLxh9Wk,30,30,0,0,VIOLATION
SBR Bar and Restaurant,"Thimmaravuthanahalli, Mulbagal",13.0682848,78.4967643,https://www.google.com/maps/place/?q=place_id:ChIJW7VURRubrTsR0e4Z836TiwY,39,39,0,0,VIOLATION
SLV Resort Bar and Restaurant,"3G97+V8W, Chukkanahalli",13.0697377,78.5133293,https://www.google.com/maps/place/?q=place_id:ChIJWVgYegCbrTsRCfuEgwNrUGg,4,4,0,0,VIOLATION
Tasmac,"VM8W+MF3, Unnamed Road, Enathur",12.8666467,79.6961989,https://www.google.com/maps/place/?q=place_id:ChIJ4ctpU0nDUjoRhY_vMfCxdtU,59,59,0,0,VIOLATION
Tasmac wine Shop,"No 55 sri ganga nager Sevilimedu, palaru bridge, Kanchipuram",12.8039002,79.6802835,https://www.google.com/maps/place/?q=place_id:ChIJLSGERrjDUjoRNYaPGPzW9nM,61,61,0,0,VIOLATION
TASMAC,"sitco estate, Gem Nagar, Sevlimedu, Kanchipuram",12.8121474,79.69991820000001,https://www.google.com/maps/place/?q=place_id:ChIJ4xDfpv7DUjoRQ5QpE7MYGs4,59,58,1,0,VIOLATION
TASMAC Wine Shop,"VJHG+8QF, Baluchetty Chatram, Sirunaiperugal",12.878351,79.6269415,https://www.google.com/maps/place/?q=place_id:ChIJ6V24jnnHUjoRg5sbQ9u4-CM,22,22,0,0,VIOLATION
Tasmac Wine Shop,"RR6J+R7C, Uthukadu",12.8120544,79.8306506,https://www.google.com/maps/place/?q=place_id:ChIJay0jJ0vvUjoReMUVZz4Wl1I,56,56,0,0,VIOLATION
TASMAC WINE SHOP,"RWXV+MQM, Perumalpattu - Kottamedu Rd, Oragadam Industrial Corridor, Vaipoor",12.8493323,79.9444297,https://www.google.com/maps/place/?q=place_id:ChIJ6_-j6qXxUjoRHUH1eEtwTXU,70,62,0,8,VIOLATION
Wine shop,"VX33+RHF, Oragadam Industrial Corridor, Oragadam",12.8545564,79.95391959999999,https://www.google.com/maps/place/?q=place_id:ChIJO1XezfLxUjoR5y3iXwsUN2c,6,6,0,0,VIOLATION
